jfreechart-ts-statement-orig-order-results.txt
Number of Inconsistent Tests Found: 0
Number of additional tests: 0
Number of Tests Missing: 1946
                                                                                                                  Original order result:        Test order result:
org.jfree.chart.axis.junit.SegmentedTimelineTests.testFifteenMinTranslations:                                     PASS
org.jfree.chart.axis.junit.CategoryTickTests.testHashCode:                                                        PASS
org.jfree.data.xy.junit.XIntervalDataItemTests.testSerialization:                                                 PASS
org.jfree.chart.junit.JFreeChartTests.testLegendEvents:                                                           PASS
org.jfree.chart.plot.junit.RingPlotTests.testEquals:                                                              PASS
org.jfree.chart.renderer.xy.junit.XYLine3DRendererTests.testPublicCloneable:                                      PASS
org.jfree.chart.axis.junit.SegmentedTimelineTests2.test3:                                                         PASS
org.jfree.chart.axis.junit.SegmentedTimelineTests2.test4:                                                         PASS
org.jfree.data.xy.junit.YIntervalSeriesTests.testSetMaximumItemCount2:                                            PASS
org.jfree.chart.axis.junit.SegmentedTimelineTests2.test5:                                                         PASS
org.jfree.chart.entity.junit.XYItemEntityTests.testSerialization:                                                 PASS
org.jfree.chart.axis.junit.SegmentedTimelineTests2.test6:                                                         PASS
org.jfree.chart.needle.junit.ArrowNeedleTests.testCloning:                                                        PASS
org.jfree.data.time.junit.QuarterTests.testConstructor:                                                           PASS
org.jfree.chart.needle.junit.PinNeedleTests.testSerialization:                                                    PASS
org.jfree.data.function.junit.PolynomialFunction2DTests.testHashCode:                                             PASS
org.jfree.chart.axis.junit.SegmentedTimelineTests2.test1:                                                         PASS
org.jfree.chart.axis.junit.SegmentedTimelineTests2.test2:                                                         PASS
org.jfree.chart.entity.junit.TickLabelEntityTests.testCloning:                                                    PASS
org.jfree.chart.annotations.junit.XYPolygonAnnotationTests.testCloning:                                           PASS
org.jfree.data.general.junit.DatasetUtilitiesTests.testFindDomainBounds3:                                         PASS
org.jfree.chart.renderer.xy.junit.XYBarRendererTests.testGetLegendItemSeriesIndex:                                PASS
org.jfree.chart.renderer.xy.junit.StackedXYAreaRenderer2Tests.testSerialization:                                  PASS
org.jfree.data.statistics.junit.BoxAndWhiskerItemTests.testEquals:                                                PASS
org.jfree.data.xy.junit.XYSeriesTests.testDelete:                                                                 PASS
org.jfree.data.time.junit.YearTests.testGetLastMillisecondWithTimeZone:                                           PASS
org.jfree.chart.plot.junit.XYPlotTests.testAddRangeMarker:                                                        PASS
org.jfree.chart.renderer.junit.OutlierTests.testEquals:                                                           PASS
org.jfree.data.general.junit.DatasetUtilitiesTests.testFindDomainBounds2:                                         PASS
org.jfree.data.time.junit.MinuteTests.testNotCloneable:                                                           PASS
org.jfree.data.time.junit.QuarterTests.testNotCloneable:                                                          PASS
org.jfree.data.xy.junit.XIntervalSeriesCollectionTests.test1170825:                                               PASS
org.jfree.chart.renderer.xy.junit.StandardXYBarPainterTests.testEquals:                                           PASS
org.jfree.chart.renderer.xy.junit.CandlestickRendererTests.testCloning:                                           PASS
org.jfree.chart.axis.junit.CategoryAnchorTests.testHashCode:                                                      PASS
org.jfree.chart.renderer.category.junit.BarRendererTests.testCloning:                                             PASS
org.jfree.chart.axis.junit.CategoryLabelPositionsTests.testHashCode:                                              PASS
org.jfree.data.time.junit.YearTests.testNotCloneable:                                                             PASS
org.jfree.data.general.junit.DatasetUtilitiesTests.testFindMaximumStackedRangeValue:                              PASS
org.jfree.chart.imagemap.junit.DynamicDriveToolTipTagFragmentGeneratorTests.testGenerateURLFragment:              PASS
org.jfree.data.junit.DefaultKeyedValuesTests.testInsertValue:                                                     PASS
org.jfree.data.junit.RangeTests.testCombine:                                                                      PASS
org.jfree.chart.labels.junit.SymbolicXYItemLabelGeneratorTests.testSerialization:                                 PASS
org.jfree.data.time.junit.YearTests.testGetFirstMillisecondWithTimeZone:                                          PASS
org.jfree.chart.annotations.junit.CategoryLineAnnotationTests.testCloning:                                        PASS
org.jfree.chart.urls.junit.TimeSeriesURLGeneratorTests.testEquals:                                                PASS
org.jfree.chart.entity.junit.ContourEntityTests.testSerialization:                                                PASS
